Comunidad_Autonoma,Año,Trimestre,Periodo,Valor_Tasado_€_m2
Valencia/València,1996,2,1996T2,487.0
Valladolid,1996,2,1996T2,682.1
Zamora,1996,2,1996T2,508.0
Zaragoza,1996,2,1996T2,608.4
Ávila,1996,2,1996T2,587.9
Albacete,1996,3,1996T3,438.7
Alicante/Alacant,1996,3,1996T3,497.9
Almería,1996,3,1996T3,445.2
Andalucía,1996,3,1996T3,505.0
Araba/Alava,1996,3,1996T3,945.5
Aragón,1996,3,1996T3,599.0
Asturias (Principado de ),1996,3,1996T3,679.3
Badajoz,1996,3,1996T3,406.6
Balears (Illes),1996,3,1996T3,601.1
Barcelona,1996,3,1996T3,894.8
Bizkaia,1996,3,1996T3,946.3
Burgos,1996,3,1996T3,721.5
Canarias,1996,3,1996T3,622.8
Cantabria,1996,3,1996T3,735.4
Castellón/Castelló,1996,3,1996T3,499.7
Castilla y León,1996,3,1996T3,636.5
Castilla-La Mancha,1996,3,1996T3,527.8
Cataluña,1996,3,1996T3,765.9
Ciudad Real,1996,3,1996T3,448.2
Comunidad Valenciana,1996,3,1996T3,508.9
Coruña (A),1996,3,1996T3,681.2
Cuenca,1996,3,1996T3,477.0
Cáceres,1996,3,1996T3,426.4
Cádiz,1996,3,1996T3,510.7
Córdoba,1996,3,1996T3,484.6
Extremadura,1996,3,1996T3,412.3
Galicia,1996,3,1996T3,606.3
Gipuzkoa,1996,3,1996T3,1032.1
Girona,1996,3,1996T3,611.0
Granada,1996,3,1996T3,490.2
Guadalajara,1996,3,1996T3,628.5
Huelva,1996,3,1996T3,518.8
Huesca,1996,3,1996T3,483.4
Jaén,1996,3,1996T3,382.2
León,1996,3,1996T3,551.2
Lleida,1996,3,1996T3,504.8
Lugo,1996,3,1996T3,457.3
Madrid (Comunidad de),1996,3,1996T3,1065.3
Murcia (Región de),1996,3,1996T3,433.4
Málaga,1996,3,1996T3,517.4
Navarra (Comunidad Foral de),1996,3,1996T3,785.6
Ourense,1996,3,1996T3,561.9
Palencia,1996,3,1996T3,554.3
Palmas (Las),1996,3,1996T3,633.1
País Vasco,1996,3,1996T3,970.5
Pontevedra,1996,3,1996T3,571.7
Rioja (La),1996,3,1996T3,622.2
Salamanca,1996,3,1996T3,620.2
Santa Cruz de Tenerife,1996,3,1996T3,602.6
Segovia,1996,3,1996T3,657.5
Sevilla,1996,3,1996T3,496.9
Soria,1996,3,1996T3,707.8
TOTAL NACIONAL,1996,3,1996T3,691.0
Tarragona,1996,3,1996T3,507.1
Teruel,1996,3,1996T3,440.8
Toledo,1996,3,1996T3,465.3
Valencia/València,1996,3,1996T3,495.6
Valladolid,1996,3,1996T3,678.0
Zamora,1996,3,1996T3,504.2
Zaragoza,1996,3,1996T3,624.6
Ávila,1996,3,1996T3,600.1
Albacete,1996,4,1996T4,469.2
Alicante/Alacant,1996,4,1996T4,499.4
Almería,1996,4,1996T4,469.4
Andalucía,1996,4,1996T4,513.4
Araba/Alava,1996,4,1996T4,950.2
Aragón,1996,4,1996T4,597.5
Asturias (Principado de ),1996,4,1996T4,667.9
Badajoz,1996,4,1996T4,409.1
Balears (Illes),1996,4,1996T4,623.8
Barcelona,1996,4,1996T4,912.2
Bizkaia,1996,4,1996T4,963.4
Burgos,1996,4,1996T4,733.2
Canarias,1996,4,1996T4,633.5
Cantabria,1996,4,1996T4,784.1
Castellón/Castelló,1996,4,1996T4,498.3
Castilla y León,1996,4,1996T4,632.8
Castilla-La Mancha,1996,4,1996T4,526.6
Cataluña,1996,4,1996T4,777.4
Ciudad Real,1996,4,1996T4,436.1
