Comunidad_Autonoma,Año,Trimestre,Periodo,Valor_Tasado_€_m2
"Navarra, Comunidad Foral de",2001,1,2001T1,1099.5
País Vasco,2001,1,2001T1,1562.1
"Rioja, La",2001,1,2001T1,880.8
Comunitat Valenciana,2001,1,2001T1,707.0
Andalucía,2001,2,2001T2,767.9
Aragón,2001,2,2001T2,914.2
"Asturias, Principado de",2001,2,2001T2,932.8
"Balears, Illes",2001,2,2001T2,1317.5
Canarias,2001,2,2001T2,1077.7
Cantabria,2001,2,2001T2,1077.9
Castilla y León,2001,2,2001T2,865.1
Castilla-La Mancha,2001,2,2001T2,670.6
Cataluña,2001,2,2001T2,1217.3
Comunitat Valenciana,2001,2,2001T2,786.9
Extremadura,2001,2,2001T2,530.2
Galicia,2001,2,2001T2,768.7
"Madrid, Comunidad de",2001,2,2001T2,1402.9
"Murcia, Región de",2001,2,2001T2,658.2
"Navarra, Comunidad Foral de",2001,2,2001T2,1122.5
País Vasco,2001,2,2001T2,1630.5
"Rioja, La",2001,2,2001T2,914.4
Comunitat Valenciana,2001,2,2001T2,742.8
Andalucía,2001,3,2001T3,787.4
Aragón,2001,3,2001T3,942.6
"Asturias, Principado de",2001,3,2001T3,948.5
"Balears, Illes",2001,3,2001T3,1368.5
Canarias,2001,3,2001T3,1089.9
Cantabria,2001,3,2001T3,1103.8
Castilla y León,2001,3,2001T3,877.4
Castilla-La Mancha,2001,3,2001T3,681.3
Cataluña,2001,3,2001T3,1230.8
Comunitat Valenciana,2001,3,2001T3,811.2
Extremadura,2001,3,2001T3,551.1
Galicia,2001,3,2001T3,788.1
"Madrid, Comunidad de",2001,3,2001T3,1465.7
"Murcia, Región de",2001,3,2001T3,679.3
"Navarra, Comunidad Foral de",2001,3,2001T3,1130.2
País Vasco,2001,3,2001T3,1689.2
"Rioja, La",2001,3,2001T3,933.9
Comunitat Valenciana,2001,3,2001T3,776.2
Andalucía,2001,4,2001T4,805.5
Aragón,2001,4,2001T4,1000.8
"Asturias, Principado de",2001,4,2001T4,984.1
"Balears, Illes",2001,4,2001T4,1396.9
Canarias,2001,4,2001T4,1111.3
Cantabria,2001,4,2001T4,1115.2
Castilla y León,2001,4,2001T4,887.2
Castilla-La Mancha,2001,4,2001T4,707.2
Cataluña,2001,4,2001T4,1275.1
Comunitat Valenciana,2001,4,2001T4,845.0
Extremadura,2001,4,2001T4,557.0
Galicia,2001,4,2001T4,800.7
"Madrid, Comunidad de",2001,4,2001T4,1533.8
"Murcia, Región de",2001,4,2001T4,699.1
"Navarra, Comunidad Foral de",2001,4,2001T4,1157.7
País Vasco,2001,4,2001T4,1706.3
"Rioja, La",2001,4,2001T4,957.7
Comunitat Valenciana,2001,4,2001T4,779.9
Andalucía,2002,1,2002T1,843.1
Aragón,2002,1,2002T1,1017.3
"Asturias, Principado de",2002,1,2002T1,1004.0
"Balears, Illes",2002,1,2002T1,1413.9
Canarias,2002,1,2002T1,1129.6
Cantabria,2002,1,2002T1,1173.6
Castilla y León,2002,1,2002T1,900.7
Castilla-La Mancha,2002,1,2002T1,735.6
Cataluña,2002,1,2002T1,1306.0
Comunitat Valenciana,2002,1,2002T1,861.2
Extremadura,2002,1,2002T1,567.8
Galicia,2002,1,2002T1,792.7
"Madrid, Comunidad de",2002,1,2002T1,1612.3
"Murcia, Región de",2002,1,2002T1,715.3
"Navarra, Comunidad Foral de",2002,1,2002T1,1168.5
País Vasco,2002,1,2002T1,1750.3
"Rioja, La",2002,1,2002T1,1015.0
Comunitat Valenciana,2002,1,2002T1,800.9
Andalucía,2002,2,2002T2,880.6
Aragón,2002,2,2002T2,1047.2
"Asturias, Principado de",2002,2,2002T2,1021.1
"Balears, Illes",2002,2,2002T2,1436.6
Canarias,2002,2,2002T2,1173.9
Cantabria,2002,2,2002T2,1199.6
Castilla y León,2002,2,2002T2,926.5
Castilla-La Mancha,2002,2,2002T2,763.9
Cataluña,2002,2,2002T2,1340.7
Comunitat Valenciana,2002,2,2002T2,897.6
Extremadura,2002,2,2002T2,591.3
Galicia,2002,2,2002T2,832.8
"Madrid, Comunidad de",2002,2,2002T2,1683.0
"Murcia, Región de",2002,2,2002T2,752.5
"Navarra, Comunidad Foral de",2002,2,2002T2,1206.7
País Vasco,2002,2,2002T2,1806.6
"Rioja, La",2002,2,2002T2,1038.8
Comunitat Valenciana,2002,2,2002T2,830.6
Andalucía,2002,3,2002T3,926.5
Aragón,2002,3,2002T3,1084.5
"Asturias, Principado de",2002,3,2002T3,1058.1
"Balears, Illes",2002,3,2002T3,1468.7
Canarias,2002,3,2002T3,1184.6
Cantabria,2002,3,2002T3,1245.1
Castilla y León,2002,3,2002T3,959.7
Castilla-La Mancha,2002,3,2002T3,778.1
Cataluña,2002,3,2002T3,1363.9
Comunitat Valenciana,2002,3,2002T3,953.0
Extremadura,2002,3,2002T3,608.0
Galicia,2002,3,2002T3,873.9
"Madrid, Comunidad de",2002,3,2002T3,1727.5
"Murcia, Región de",2002,3,2002T3,801.0
"Navarra, Comunidad Foral de",2002,3,2002T3,1232.8
País Vasco,2002,3,2002T3,1906.8
"Rioja, La",2002,3,2002T3,1044.4
Comunitat Valenciana,2002,3,2002T3,870.1
Andalucía,2002,4,2002T4,932.1
Aragón,2002,4,2002T4,1130.8
"Asturias, Principado de",2002,4,2002T4,1102.3
"Balears, Illes",2002,4,2002T4,1508.4
Canarias,2002,4,2002T4,1209.0
Cantabria,2002,4,2002T4,1287.3
Castilla y León,2002,4,2002T4,962.2
Castilla-La Mancha,2002,4,2002T4,791.1
Cataluña,2002,4,2002T4,1410.2
Comunitat Valenciana,2002,4,2002T4,975.9
Extremadura,2002,4,2002T4,611.3
Galicia,2002,4,2002T4,886.5
"Madrid, Comunidad de",2002,4,2002T4,1868.8
"Murcia, Región de",2002,4,2002T4,837.0
"Navarra, Comunidad Foral de",2002,4,2002T4,1255.7
País Vasco,2002,4,2002T4,1948.3
"Rioja, La",2002,4,2002T4,1079.3
Comunitat Valenciana,2002,4,2002T4,885.0
Andalucía,2003,1,2003T1,983.6
Aragón,2003,1,2003T1,1117.4
"Asturias, Principado de",2003,1,2003T1,1116.5
"Balears, Illes",2003,1,2003T1,1531.1
Canarias,2003,1,2003T1,1241.0
Cantabria,2003,1,2003T1,1308.4
Castilla y León,2003,1,2003T1,970.8
Castilla-La Mancha,2003,1,2003T1,820.6
Cataluña,2003,1,2003T1,1456.5
Comunitat Valenciana,2003,1,2003T1,1011.0
Extremadura,2003,1,2003T1,627.2
Galicia,2003,1,2003T1,898.0
"Madrid, Comunidad de",2003,1,2003T1,1936.9
"Murcia, Región de",2003,1,2003T1,848.1
"Navarra, Comunidad Foral de",2003,1,2003T1,1258.8
País Vasco,2003,1,2003T1,2026.6
"Rioja, La",2003,1,2003T1,1131.1
Comunitat Valenciana,2003,1,2003T1,923.3
Andalucía,2003,2,2003T2,1037.8
Aragón,2003,2,2003T2,1186.1
"Asturias, Principado de",2003,2,2003T2,1133.6
"Balears, Illes",2003,2,2003T2,1567.0
Canarias,2003,2,2003T2,1268.5
Cantabria,2003,2,2003T2,1324.6
Castilla y León,2003,2,2003T2,1001.5
